processo_25,id
325,0151280-26.2025.8.16.0000
326,0149024-13.2025.8.16.0000
327,0151422-30.2025.8.16.0000
328,0149931-85.2025.8.16.0000
329,0151299-32.2025.8.16.0000
330,0145149-35.2025.8.16.0000
331,0007815-52.2023.8.16.0024
332,0129456-11.2025.8.16.0000
333,0150201-12.2025.8.16.0000
334,0005048-31.2025.8.16.0037
335,0151660-49.2025.8.16.0000
336,0130273-75.2025.8.16.0000
337,0003688-34.2009.8.16.0001
338,0133057-25.2025.8.16.0000
339,0147221-92.2025.8.16.0000
340,0004964-84.2025.8.16.0116
341,0150658-44.2025.8.16.0000
342,0038518-64.2025.8.16.0001
343,0122499-91.2025.8.16.0000
344,0138391-40.2025.8.16.0000
345,0147525-91.2025.8.16.0000
346,0042407-69.2025.8.16.0019
347,0151575-63.2025.8.16.0000
348,0140377-29.2025.8.16.0000
349,0011091-20.2025.8.16.0025
350,0036153-37.2025.8.16.0001
351,0062104-36.2025.8.16.0000
352,0061350-94.2025.8.16.0000
353,0122695-61.2025.8.16.0000
354,0130660-90.2025.8.16.0000
355,0133825-48.2025.8.16.0000
356,0119716-29.2025.8.16.0000
357,0021633-72.2025.8.16.0001
358,0117896-72.2025.8.16.0000
359,0109294-92.2025.8.16.0000
360,0115923-82.2025.8.16.0000
361,0133831-55.2025.8.16.0000
362,0120978-14.2025.8.16.0000
363,0002027-32.2010.8.16.0018
364,0022813-12.2010.8.16.0014
365,0007705-23.2025.8.16.9000
366,0006316-83.2011.8.16.0014
367,0005334-76.2024.8.16.0026
368,0000872-74.2011.8.16.0174
369,0028819-35.2010.8.16.0014
370,0021422-07.2019.8.16.0014
371,0050571-48.2019.8.16.0014
372,0007275-18.2022.8.16.0160
373,0061703-05.2019.8.16.0014
374,0015765-26.2025.8.16.0030
375,0018142-16.2019.8.16.0018
376,0007715-67.2025.8.16.9000
377,0007703-53.2025.8.16.9000
378,0011153-39.2025.8.16.0129
379,0011133-48.2025.8.16.0129
380,0048208-59.2025.8.16.0182
381,0036685-21.2025.8.16.0030
382,0014844-43.2025.8.16.0038
383,0003436-06.2025.8.16.0119
384,0048215-51.2025.8.16.0182
385,0005141-20.2025.8.16.0190
386,0015696-46.2025.8.16.0045
387,0017888-33.2025.8.16.0018
388,0048210-29.2025.8.16.0182
389,0036662-75.2025.8.16.0030
390,0003860-49.2023.8.16.0109
391,0007699-16.2025.8.16.9000
392,0001427-06.2025.8.16.9000
393,0007700-98.2025.8.16.9000
394,0007652-42.2025.8.16.9000
395,0078017-58.2025.8.16.0000
396,0002783-18.2025.8.16.0179
397,0034065-26.2025.8.16.0001
398,0099226-83.2025.8.16.0000
399,0008959-53.2025.8.16.0004
400,0093630-60.2021.8.16.0000
401,0030264-05.2025.8.16.0001
402,0005232-98.2025.8.16.0097
403,0006808-44.2016.8.16.0097
404,0012994-94.2014.8.16.0116
405,0149656-39.2025.8.16.0000
406,0022760-31.2010.8.16.0014
407,0133225-27.2025.8.16.0000
408,0005047-70.2025.8.16.0029
409,0150726-91.2025.8.16.0000
410,0076090-57.2025.8.16.0000
411,0119550-94.2025.8.16.0000
412,0008292-28.2024.8.16.0190
413,0149673-75.2025.8.16.0000
414,0009333-35.2021.8.16.0190
415,0011876-32.2025.8.16.0170
416,0008449-98.2024.8.16.0190
417,0003758-54.2024.8.16.0024
418,0112800-76.2025.8.16.0000
419,0005952-37.2014.8.16.0037
420,0098232-55.2025.8.16.0000
421,0137566-96.2025.8.16.0000
422,0002345-69.2025.8.16.0121
423,0001671-20.2019.8.16.0148
424,0008397-05.2024.8.16.0190
425,0133965-82.2025.8.16.0000
426,0134943-59.2025.8.16.0000
427,0113615-73.2025.8.16.0000
428,0096244-96.2025.8.16.0000
429,0143136-63.2025.8.16.0000
430,0101397-13.2025.8.16.0000
431,0002790-53.2025.8.16.0100
432,0007106-63.2025.8.16.0083
433,0004143-18.2025.8.16.0072
434,0014605-22.2025.8.16.0173
435,0047263-70.2025.8.16.0021
436,0025603-32.2025.8.16.0017
437,0001419-47.2025.8.16.0070
438,0109389-25.2025.8.16.0000
439,0146651-09.2025.8.16.0000
440,0038845-52.2025.8.16.0019
441,0130731-92.2025.8.16.0000
442,0098945-30.2025.8.16.0000
443,0008147-35.2025.8.16.0190
444,0087818-95.2025.8.16.0000
445,0150397-79.2025.8.16.0000
446,0151267-27.2025.8.16.0000
447,0093982-76.2025.8.16.0000
448,0089050-45.2025.8.16.0000
449,0118274-28.2025.8.16.0000
450,0105965-72.2025.8.16.0000
451,0112316-61.2025.8.16.0000
452,0148779-02.2025.8.16.0000
453,0001924-12.2023.8.16.0166
454,0134089-65.2025.8.16.0000
455,0015497-64.2009.8.16.0116
456,0006839-74.2013.8.16.0160
457,0002579-77.2021.8.16.0190
458,0009673-42.2022.8.16.0190
459,0135765-48.2025.8.16.0000
460,0033916-33.2025.8.16.0000
461,0083823-74.2025.8.16.0000
462,0102405-25.2025.8.16.0000
463,0151304-54.2025.8.16.0000
464,0146880-66.2025.8.16.0000
465,0144276-35.2025.8.16.0000
466,0002082-46.2025.8.16.0118
467,0004845-35.2025.8.16.0210
468,0018922-43.2025.8.16.0018
469,0011155-09.2025.8.16.0129
470,0012867-31.2025.8.16.0130
471,0078685-84.2025.8.16.0014
472,0003006-39.2025.8.16.0124
473,0003139-30.2025.8.16.0141
474,0049204-57.2025.8.16.0182
475,0007332-92.2025.8.16.0075
476,0003474-25.2025.8.16.0149
477,0002375-29.2025.8.16.0049
478,0003376-71.2025.8.16.0074
479,0003473-40.2025.8.16.0149
